episode,return,success,collisions,steps
165,-16.05758118569848,0,0,200
166,-15.728298453390572,0,0,200
163,-15.786396213769887,0,0,200
167,-16.23929064214227,0,0,200
164,-15.966138910651177,0,0,200
168,-16.11526955306527,0,0,200
165,-16.05758118569848,0,0,200
169,-15.706285684704753,0,0,200
166,-15.728298453390572,0,0,200
170,-16.095420094728443,0,0,200
167,-16.23929064214227,0,0,200
171,-15.772773715257621,0,0,200
168,-16.11526955306527,0,0,200
172,-16.21838784158227,0,0,200
169,-15.706285684704753,0,0,200
173,-15.567903920412036,0,0,200
170,-16.095420094728443,0,0,200
171,-15.772773715257621,0,0,200
172,-16.21838784158227,0,0,200
173,-15.567903920412036,0,0,200
174,-15.653746836781472,0,0,200
175,-15.764572360515569,0,0,200
176,-15.957310014367076,0,0,200
177,-15.39252956449983,0,0,200
174,-15.653746836781472,0,0,200
178,-15.59922756195066,0,0,200
175,-15.764572360515569,0,0,200
179,-15.340054678320861,0,0,200
176,-15.957310014367076,0,0,200
180,-15.989823933839773,0,0,200
177,-15.39252956449983,0,0,200
181,-15.964007636308644,0,0,200
178,-15.59922756195066,0,0,200
182,-15.759065713882421,0,0,200
179,-15.340054678320861,0,0,200
183,-15.8913770908117,0,0,200
180,-15.989823933839773,0,0,200
181,-15.964007636308644,0,0,200
182,-15.759065713882421,0,0,200
183,-15.8913770908117,0,0,200
184,-15.863179006576512,0,0,200
185,-15.820962169170349,0,0,200
186,-15.918078359365435,0,0,200
187,-15.819388001561137,0,0,200
184,-15.863179006576512,0,0,200
188,-15.430827953815434,0,0,200
185,-15.820962169170349,0,0,200
189,-15.449792265295955,0,0,200
186,-15.918078359365435,0,0,200
190,-15.96849273979661,0,0,200
187,-15.819388001561137,0,0,200
191,-15.72638734221456,0,0,200
188,-15.430827953815434,0,0,200
192,-15.65942460834977,0,0,200
189,-15.449792265295955,0,0,200
193,-15.763650163412066,0,0,200
190,-15.96849273979661,0,0,200
191,-15.72638734221456,0,0,200
192,-15.65942460834977,0,0,200
193,-15.763650163412066,0,0,200
194,-15.671800335645642,0,0,200
195,-16.016518011093112,0,0,200
196,-15.512879087924926,0,0,200
197,-15.662127686440918,0,0,200
194,-15.671800335645642,0,0,200
198,-16.26039698958394,0,0,200
195,-16.016518011093112,0,0,200
199,-15.912112536430332,0,0,200
196,-15.512879087924926,0,0,200
200,-15.64728414505717,0,0,200
197,-15.662127686440918,0,0,200
201,-15.778731332123252,0,0,200
198,-16.26039698958394,0,0,200
202,-14.632717744410014,0,0,200
199,-15.912112536430332,0,0,200
203,-15.72315009772775,0,0,200
200,-15.64728414505717,0,0,200
201,-15.778731332123252,0,0,200
202,-14.632717744410014,0,0,200
203,-15.72315009772775,0,0,200
204,-15.969980152845357,0,0,200
205,-15.021905530393095,0,0,200
206,-15.585852018892737,0,0,200
207,-15.56009537816045,0,0,200
204,-15.969980152845357,0,0,200
208,-15.656158212721325,0,0,200
205,-15.021905530393095,0,0,200
209,-15.62621163219211,0,0,200
206,-15.585852018892737,0,0,200
210,-15.611937011182281,0,0,200
207,-15.56009537816045,0,0,200
211,-15.734858270883533,0,0,200
208,-15.656158212721325,0,0,200
212,-15.767211359143232,0,0,200
209,-15.62621163219211,0,0,200
213,-15.270018067359896,0,0,200
210,-15.611937011182281,0,0,200
214,-15.373839344978311,0,0,200
211,-15.734858270883533,0,0,200
212,-15.767211359143232,0,0,200
213,-15.270018067359896,0,0,200
214,-15.373839344978311,0,0,200
215,-15.502240246683336,0,0,200
216,-15.78966297745702,0,0,200
217,-15.048844456076594,0,0,200
218,-15.484028528034663,0,0,200
215,-15.502240246683336,0,0,200
219,-15.318693721443388,0,0,200
216,-15.78966297745702,0,0,200
220,-15.29079195573923,0,0,200
217,-15.048844456076594,0,0,200
221,-14.977671187520004,0,0,200
218,-15.484028528034663,0,0,200
222,-15.559946569204303,0,0,200
219,-15.318693721443388,0,0,200
223,-16.077477573752375,0,0,200
220,-15.29079195573923,0,0,200
224,-15.229426098018862,0,0,200
221,-14.977671187520004,0,0,200
222,-15.559946569204303,0,0,200
223,-16.077477573752375,0,0,200
224,-15.229426098018862,0,0,200
225,-15.552822413444492,0,0,200
226,-15.038325437307332,0,0,200
227,-15.498292135596248,0,0,200
228,-15.302077328562714,0,0,200
225,-15.552822413444492,0,0,200
229,-15.571829041242577,0,0,200
230,-15.382005594074696,0,0,200
226,-15.038325437307332,0,0,200
231,-15.784985240697829,0,0,200
227,-15.498292135596248,0,0,200
232,-15.345542169511294,0,0,200
228,-15.302077328562714,0,0,200
233,-15.788181623220414,0,0,200
229,-15.571829041242577,0,0,200
234,-15.695957388877844,0,0,200
230,-15.382005594074696,0,0,200
231,-15.784985240697829,0,0,200
232,-15.345542169511294,0,0,200
233,-15.788181623220414,0,0,200
234,-15.695957388877844,0,0,200
235,-15.507734813690158,0,0,200
236,-15.686281769871684,0,0,200
237,-15.318929096460318,0,0,200
238,-15.55042121946809,0,0,200
235,-15.507734813690158,0,0,200
239,-15.552338680028889,0,0,200
236,-15.686281769871684,0,0,200
240,-15.167483646571608,0,0,200
